Título,Descrição,Preço,Local,Ano,KM Rodado
Volkswagen Fox,Fox 1.6 MSI Comfortline (Flex) manual,"R$ 49.900,00","Campinas, SP",2016/2016,118.145 Km
Fiat Bravo,Bravo BlackMotion 1.8 16V (Flex) automático,"R$ 49.900,00","Rio de Janeiro, RJ",2016/2016,78.000 Km
Chevrolet Onix,Onix 1.0 LS SPE/4 manual,"R$ 49.900,00","Araraquara, SP",2015/2016,95.916 Km
Chevrolet Onix,Onix 1.0 LT SPE/4 manual,"R$ 49.900,00","Camboriú, SC",2015/2016,71.800 Km
Volkswagen Fox,Fox 1.6 MSI Trendline (Flex) manual,"R$ 49.900,00","Bauru, SP",2015/2016,99.353 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 49.900,00","Bauru, SP",2016/2016,124.995 Km
Nissan Sentra,Sentra SV 2.0 16V CVT (Flex) automático,"R$ 49.900,00","Rio de Janeiro, RJ",2015/2016,110.000 Km
Volkswagen Voyage,Voyage 1.6 VHT Trendline (Flex) manual,"R$ 49.900,00","Porto Alegre, RS",2015/2016,88.000 Km
Hyundai HB20,HB20 1.0 Comfort Plus manual,"R$ 49.900,00","São Luís, MA",2016/2016,59.971 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 4p manual,"R$ 49.900,00","Curitiba, PR",2015/2016,140.687 Km
Volkswagen Up!,Up! 1.0 12v TSI E-Flex Move Up! manual,"R$ 49.900,00","Osasco, SP",2015/2016,91.000 Km
Ford New Fiesta Hatch,New Fiesta SE 1.6 16V manual,"R$ 49.900,00","Sinop, MT",2015/2016,80.000 Km
Chevrolet Cobalt,Cobalt LTZ 1.8 8V (Aut) (Flex) automático,"R$ 49.900,00","São João de Meriti, RJ",2016/2016,45.000 Km
Fiat Strada,Strada Working 1.4 (Flex) manual,"R$ 49.900,00","São José do Rio Preto, SP",2015/2016,132.000 Km
Volkswagen Fox,Fox 1.0 TEC Comfortline (Flex) manual,"R$ 49.900,00","Fortaleza, CE",2015/2016,40.000 Km
Hyundai HB20,HB20 1.0 Comfort Plus manual,"R$ 49.900,00","Brasília, DF",2015/2016,94.000 Km
Ford New Fiesta Hatch,New Fiesta SE 1.6 16V manual,"R$ 49.900,00","Londrina, PR",2015/2016,71.265 Km
Chevrolet Onix,Onix 1.0 LT SPE/4 manual,"R$ 49.900,00","Marataízes, ES",2015/2016,104.834 Km
Chevrolet Montana,Montana LS 1.4 (Flex) manual,"R$ 49.900,00","Joinville, SC",2015/2016,132.900 Km
Fiat Strada,Strada Working 1.4 (Flex) manual,"R$ 49.900,00","Cocal do Sul, SC",2016/2016,142.000 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 49.900,00","Mogi das Cruzes, SP",2015/2016,93.000 Km
Chevrolet Prisma,Prisma 1.4 LT SPE/4 manual,"R$ 49.900,00","Belo Horizonte, MG",2015/2016,130.000 Km
Chevrolet Onix,Onix 1.0 LT SPE/4 manual,"R$ 49.900,00","Osasco, SP",2016/2016,78.800 Km
Volkswagen Voyage,Voyage 1.6 VHT Trendline (Flex) manual,"R$ 49.900,00","Serra, ES",2015/2016,78.000 Km
Hyundai HB20,HB20 1.0 Comfort Style manual,"R$ 49.900,00","Santa Maria, RS",2016/2016,123.010 Km
Fiat Strada,Strada Working 1.4 (Flex) manual,"R$ 49.900,00","Colombo, PR",2016/2016,113.022 Km
Chevrolet Montana,Montana LS 1.4 (Flex) manual,"R$ 49.900,00","Sertãozinho, SP",2016/2016,102.000 Km
Fiat Idea,Idea Adventure 1.8 16V Dualogic (Flex) automático,"R$ 49.900,00","Nova Friburgo, RJ",2016/2016,105.000 Km
Renault Sandero Stepway,Sandero Stepway 1.6 8V (Flex) manual,"R$ 49.900,00","Rio Branco, AC",2015/2016,74.000 Km
Renault Kangoo Express,Kangoo Express 1.6 16V (Flex) manual,"R$ 49.900,00","Curitiba, PR",2015/2016,105.000 Km
Volkswagen Up!,Up! 1.0 12v E-Flex cross up! manual,"R$ 49.900,00","Guarulhos, SP",2016/2016,66.000 Km
Chevrolet Onix,Onix 1.4 LTZ SPE/4 manual,"R$ 49.900,00","São Paulo, SP",2015/2015,90.000 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 49.900,00","Aparecida de Goiânia, GO",2014/2015,83.000 Km
Citroën Aircross,Aircross Exclusive 1.6 16V (flex) manual,"R$ 49.900,00","Esteio, RS",2015/2015,128.432 Km
Hyundai HB20S,HB20S 1.0 Comfort Plus manual,"R$ 49.900,00","São José, SC",2014/2015,78.674 Km
Chevrolet Prisma,Prisma 1.0 LT SPE/4 manual,"R$ 49.900,00","Tubarão, SC",2014/2015,80.000 Km
Chevrolet Prisma,Prisma 1.0 LT SPE/4 manual,"R$ 49.900,00","Blumenau, SC",2014/2015,80.000 Km
Hyundai HB20S,HB20S 1.0 Comfort Plus manual,"R$ 49.900,00","Campinas, SP",2015/2015,121.453 Km
Fiat Palio,Palio Sporting 1.6 16V Dualogic (Flex) automático,"R$ 49.900,00","Imbituba, SC",2014/2015,72.000 Km
Chevrolet Prisma,Prisma 1.0 LT SPE/4 manual,"R$ 49.900,00","Criciúma, SC",2014/2015,80.000 Km
Fiat Fiorino,Fiorino Furgão 1.4 Evo (Flex) manual,"R$ 49.900,00","Belo Horizonte, MG",2014/2015,128.000 Km
Hyundai HB20,HB20 1.6 Comfort Plus manual,"R$ 49.900,00","Fortaleza, CE",2014/2015,90.000 Km
Chevrolet Prisma,Prisma 1.0 LT SPE/4 manual,"R$ 49.900,00","Manaus, AM",2015/2015,67.000 Km
Chevrolet Prisma,Prisma 1.4 LT SPE/4 manual,"R$ 49.900,00","Maringá, PR",2015/2015,90.123 Km
Fiat Palio,Palio Attractive 1.4 Evo (Flex) manual,"R$ 49.900,00","São José, SC",2014/2015,90.000 Km
Hyundai HB20,HB20 1.0 Copa do Mundo manual,"R$ 49.900,00","Belém, PA",2014/2015,136.952 Km
Chevrolet Montana,Montana LS 1.4 (Flex) manual,"R$ 49.900,00","Urupês, SP",2014/2015,100.956 Km
Volkswagen Saveiro,Saveiro Trendline 1.6 MSI CE (Flex) manual,"R$ 49.900,00","Serra, ES",2014/2015,91.000 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 49.900,00","Serra, ES",2014/2015,72.000 Km
Hyundai HB20,HB20 1.0 Comfort Plus manual,"R$ 49.900,00","Brasília, DF",2015/2015,45.071 Km
Chevrolet Prisma,Prisma 1.4 LT SPE/4 manual,"R$ 49.900,00","São Paulo, SP",2014/2015,130.300 Km
Chevrolet Prisma,Prisma 1.4 LT SPE/4 manual,"R$ 49.900,00","São Carlos, SP",2014/2015,130.000 Km
Volkswagen CrossFox,CrossFox 1.6 VHT (Flex) manual,"R$ 49.900,00","Curitiba, PR",2015/2015,144.120 Km
Chevrolet Onix,Onix 1.4 LTZ SPE/4 manual,"R$ 49.900,00","Paranaguá, PR",2014/2015,73.445 Km
Citroën Aircross,Aircross Tendance 1.6 16V (Flex) manual,"R$ 49.900,00","Canoas, RS",2014/2015,103.000 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 49.900,00","Indaial, SC",2015/2015,123.020 Km
Renault Fluence,Fluence 2.0 16V Dynamique (Flex) automático,"R$ 49.900,00","Curitiba, PR",2014/2015,195.313 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 49.900,00","Sorocaba, SP",2014/2015,79.000 Km
Hyundai HB20S,HB20S 1.0 Comfort Plus manual,"R$ 49.900,00","Campinas, SP",2015/2015,121.171 Km
Chevrolet Cobalt,Cobalt LTZ 1.8 8V (Aut) (Flex) automático,"R$ 49.900,00","São Bernardo do Campo, SP",2015/2015,101.278 Km
Hyundai HB20,HB20 1.6 Comfort Plus manual,"R$ 49.900,00","São Bernardo do Campo, SP",2014/2015,74.000 Km
Ford New Fiesta Hatch,New Fiesta SE 1.6 16V manual,"R$ 49.900,00","São Paulo, SP",2015/2015,128.546 Km
Chevrolet Prisma,Prisma 1.0 LT SPE/4 manual,"R$ 49.900,00","Telêmaco Borba, PR",2015/2015,105.976 Km
Chevrolet Onix,Onix 1.4 LTZ SPE/4 (Aut) automático,"R$ 49.900,00","Colombo, PR",2015/2015,161.000 Km
Chevrolet Montana,Montana LS 1.4 (Flex) manual,"R$ 49.900,00","São Leopoldo, RS",2015/2015,85.000 Km
Renault Duster,Duster 2.0 16V Dynamique (Aut) (Flex) automático,"R$ 49.900,00","Araruama, RJ",2014/2015,93.000 Km
Fiat Palio,Palio Sporting 1.6 16V Dualogic (Flex) automático,"R$ 49.900,00","Sumaré, SP",2014/2015,147.452 Km
Hyundai HB20,HB20 1.0 Comfort Plus manual,"R$ 49.900,00","Bragança Paulista, SP",2014/2015,150.000 Km
Chevrolet Onix,Onix 1.0 LT SPE/4 manual,"R$ 49.900,00","Curitiba, PR",2015/2015,23.193 Km
Hyundai HB20S,HB20S 1.0 Comfort Plus manual,"R$ 49.900,00","Hortolândia, SP",2015/2015,121.453 Km
Chevrolet Prisma,Prisma 1.4 LT SPE/4 manual,"R$ 49.900,00","Porto Alegre, RS",2015/2015,100.000 Km
Chevrolet Prisma,Prisma 1.4 LT SPE/4 manual,"R$ 49.900,00","Rio de Janeiro, RJ",2015/2015,N/D
Chevrolet Onix,Onix 1.4 LT SPE/4 manual,"R$ 49.900,00","São Paulo, SP",2015/2015,135.000 Km
Hyundai HB20,HB20 1.6 Comfort Plus manual,"R$ 49.900,00","Rio de Janeiro, RJ",2015/2015,200 Km
Renault Duster,Duster 1.6 16V (Flex) manual,"R$ 49.900,00","São José dos Pinhais, PR",2015/2015,99.000 Km
Volkswagen Fox,Fox Pepper 1.6 16v MSI manual,"R$ 49.900,00","Rio de Janeiro, RJ",2015/2015,73.747 Km
Chevrolet Onix,Onix 1.4 LT SPE/4 manual,"R$ 49.900,00","Petrópolis, RJ",2014/2015,82.000 Km
Chevrolet Prisma,Prisma 1.4 LT SPE/4 manual,"R$ 49.900,00","Diadema, SP",2014/2015,119.000 Km
Honda Fit,Fit LX 1.4 (flex) (aut) automático,"R$ 49.900,00","São Paulo, SP",2013/2014,82.742 Km
Chevrolet Prisma,Prisma 1.4 LT SPE/4 manual,"R$ 49.900,00","São José dos Campos, SP",2013/2014,112.102 Km
Fiat 500,500 Cult 1.4 Evo (Flex) manual,"R$ 49.900,00","Jaraguá do Sul, SC",2013/2014,114.000 Km
Fiat 500,500 Cult Dualogic 1.4 Evo (Flex) automático,"R$ 49.900,00","Paulínia, SP",2013/2014,128.257 Km
Hyundai HB20,HB20 1.6 Premium manual,"R$ 49.900,00","Belo Horizonte, MG",2013/2014,119.474 Km
Hyundai HB20S,HB20S 1.6 Comfort Plus manual,"R$ 49.900,00","Gravataí, RS",2013/2014,111.000 Km
Hyundai HB20S,HB20S 1.6 Premium (Aut) automático,"R$ 49.900,00","Belém, PA",2014/2014,59.935 Km
Hyundai HB20,HB20 1.6 Comfort manual,"R$ 49.900,00","Barueri, SP",2013/2014,49.890 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 49.900,00","Sorocaba, SP",2013/2014,105.000 Km
Fiat 500,500 Cult Dualogic 1.4 Evo (Flex) automático,"R$ 49.900,00","São Carlos, SP",2013/2014,113.443 Km
Renault Duster,Duster 1.6 16V (Flex) manual,"R$ 49.900,00","Sorocaba, SP",2013/2014,115.000 Km
Volkswagen Polo Sedan,Polo Sedan Comfortline 1.6 8V (Flex) manual,"R$ 49.900,00","Aparecida de Goiânia, GO",2014/2014,115.000 Km
Ford Focus Hatch,Focus Hatch S 1.6 16V TiVCT PowerShift automático,"R$ 49.900,00","São Paulo, SP",2014/2014,98.000 Km
Volkswagen CrossFox,CrossFox 1.6 VHT (Flex) manual,"R$ 49.900,00","Uberlândia, MG",2014/2014,70.549 Km
Chevrolet Prisma,Prisma 1.4 LTZ SPE/4 manual,"R$ 49.900,00","Rio de Janeiro, RJ",2014/2014,84.302 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 49.900,00","São Paulo, SP",2013/2014,84.984 Km
Hyundai HB20,HB20 1.6 Comfort manual,"R$ 49.900,00","Guarulhos, SP",2013/2014,85.681 Km
Chevrolet Onix,Onix 1.4 LTZ SPE/4 manual,"R$ 49.900,00","Campinas, SP",2014/2014,118.000 Km
Hyundai HB20S,HB20S 1.6 Premium manual,"R$ 49.900,00","Fazenda Rio Grande, PR",2013/2014,129.248 Km
Renault Duster,Duster 1.6 16V Dynamique (Flex) manual,"R$ 49.900,00","Brasília, DF",2013/2014,140.000 Km
Honda Fit,Fit CX 1.4 16v (Flex) automático,"R$ 49.900,00","Nova Friburgo, RJ",2013/2014,130.000 Km
Chevrolet Onix,Onix 1.4 LTZ SPE/4 manual,"R$ 49.900,00","São Paulo, SP",2013/2014,83.047 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 49.900,00","Votuporanga, SP",2013/2014,163.000 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 49.900,00","Votuporanga, SP",2014/2014,137.000 Km
Chevrolet Onix,Onix 1.4 LTZ SPE/4 manual,"R$ 49.900,00","Presidente Prudente, SP",2013/2014,120.000 Km
Volkswagen CrossFox,CrossFox I-Motion 1.6 VHT (Flex) automático,"R$ 49.900,00","São Paulo, SP",2013/2014,69.636 Km
Hyundai HB20,HB20 1.6 Premium manual,"R$ 49.900,00","Rio Branco, AC",2013/2014,81.000 Km
Chevrolet Prisma,Prisma 1.4 LTZ SPE/4 (Aut) automático,"R$ 49.900,00","Campo Largo, PR",2013/2014,186.074 Km
Honda Fit,Fit LX 1.4 (flex) manual,"R$ 49.900,00","Brasília, DF",2014/2014,149.000 Km
Fiat Strada,Strada Working 1.4 (Flex) manual,"R$ 49.900,00","Vilhena, RO",2014/2014,86.000 Km
Renault Duster,Duster 1.6 16V Dynamique (Flex) manual,"R$ 49.900,00","Rio Verde, GO",2013/2014,161.000 Km
Hyundai HB20S,HB20S 1.6 Comfort Plus manual,"R$ 49.900,00","Hortolândia, SP",2014/2014,130.328 Km
Ford Focus Hatch,Focus Hatch SE 1.6 16V TiVCT PowerShift automático,"R$ 49.900,00","Belo Horizonte, MG",2013/2014,115.250 Km
Honda Fit,Fit DX 1.4 (Flex) manual,"R$ 49.900,00","São Paulo, SP",2013/2014,57.690 Km
Ford Focus Sedan,Focus Sedan SE 2.0 16V PowerShift (Aut) automático,"R$ 49.900,00","Rio das Ostras, RJ",2013/2014,108.596 Km
Citroën C4 Lounge,C4 Lounge Tendance 2.0i manual,"R$ 49.900,00","Penha, SC",2013/2014,144.333 Km
Honda Fit,Fit LX 1.4 (flex) manual,"R$ 49.900,00","Belo Horizonte, MG",2013/2014,128.627 Km
Honda Fit,Fit CX 1.4 16v (Flex) (Aut) automático,"R$ 49.900,00","Ribeirão Preto, SP",2013/2014,142.000 Km
Chevrolet Onix,Onix 1.4 LTZ SPE/4 manual,"R$ 49.900,00","São Paulo, SP",2013/2014,87.000 Km
Chevrolet Onix,Onix 1.4 LTZ SPE/4 manual,"R$ 49.900,00","São José dos Campos, SP",2014/2014,104.000 Km
Renault Duster,Duster 2.0 16V Dynamique (Flex)(Aut) automático,"R$ 49.900,00","Taboão da Serra, SP",2013/2014,112.000 Km
Fiat 500,500 Cult Dualogic 1.4 Evo (Flex) automático,"R$ 49.900,00","Campinas, SP",2013/2014,128.257 Km
Chevrolet Spin,Spin LT 5S 1.8 (Flex) manual,"R$ 49.900,00","Campinas, SP",2013/2014,112.831 Km
Chevrolet Prisma,Prisma 1.4 LTZ SPE/4 manual,"R$ 49.900,00","Vinhedo, SP",2013/2014,120.000 Km
Volkswagen Saveiro,Saveiro 1.6 (Flex) (cab. estendida) manual,"R$ 49.900,00","Belo Horizonte, MG",2012/2013,83.000 Km
Renault Duster,Duster 2.0 16V Dynamique (Flex) manual,"R$ 49.900,00","Campinas, SP",2013/2013,156.373 Km
Renault Duster,Duster 1.6 16V Dynamique (Flex) manual,"R$ 49.900,00","Fortaleza, CE",2012/2013,140.000 Km
Fiat Strada,Strada Working 1.4 (Flex) (Cabine Estendida) manual,"R$ 49.900,00","Piracicaba, SP",2012/2013,150.000 Km
Hyundai Tucson,Tucson GL 2.0 16V automático,"R$ 49.900,00","São Paulo, SP",2012/2013,115.000 Km
Fiat Doblò Cargo,Doblò Cargo 1.4 8V (Flex) manual,"R$ 49.900,00","São Paulo, SP",2013/2013,62.000 Km
Hyundai HB20,HB20 1.6 Premium (Aut) automático,"R$ 49.900,00","Brasília, DF",2013/2013,157.000 Km
Peugeot 3008,3008 1.6 THP Griffe automático,"R$ 49.900,00","Jundiaí, SP",2012/2013,160.000 Km
Renault Duster,Duster 1.6 16V Dynamique (Flex) manual,"R$ 49.900,00","São Paulo, SP",2012/2013,98.000 Km
Fiat Strada,Strada Trekking 1.6 16V (Flex) manual,"R$ 49.900,00","Betim, MG",2012/2013,116.000 Km
Hyundai HB20,HB20 1.6 Premium (Aut) automático,"R$ 49.900,00","Petrópolis, RJ",2013/2013,70.000 Km
Renault Duster,Duster 1.6 16V Dynamique (Flex) manual,"R$ 49.900,00","Campinas, SP",2012/2013,150.426 Km
Fiat Strada,Strada Working 1.4 (Flex) (Cabine Dupla) manual,"R$ 49.900,00","São Paulo, SP",2012/2013,180.000 Km
Hyundai Tucson,Tucson GL 2.0 16V (Flex) manual,"R$ 49.900,00","Gaspar, SC",2012/2013,190.000 Km
Hyundai HB20,HB20 1.6 Premium (Aut) automático,"R$ 49.900,00","Arujá, SP",2013/2013,126.000 Km
Kia Soul,Soul 1.6 16V (aut.) U.173 automático,"R$ 49.900,00","São Paulo, SP",2012/2013,118.087 Km
Fiat 500,500 Cult 1.4 8V manual,"R$ 49.900,00","Suzano, SP",2013/2013,92.500 Km
Fiat Doblò Cargo,Doblò Cargo 1.4 8V (Flex) manual,"R$ 49.900,00","São Paulo, SP",2013/2013,62.000 Km
Hyundai Tucson,Tucson GLS 2.0 16V (Flex) (aut) automático,"R$ 49.900,00","Canoas, RS",2012/2013,137.575 Km
Honda Fit,Fit Twist 1.5 16v (Flex) automático,"R$ 49.900,00","Olinda, PE",2013/2013,108.000 Km
Fiat Freemont,Freemont 2.4 16V Emotion (Aut) automático,"R$ 49.900,00","Catanduva, SP",2011/2012,84.500 Km
Volkswagen Saveiro,Saveiro Cross 1.6 (Flex) (cab. estendida) manual,"R$ 49.900,00","São José do Rio Preto, SP",2012/2012,154.000 Km
Mitsubishi Lancer,Lancer 2.0 16V CVT (aut) automático,"R$ 49.900,00","Vitória, ES",2011/2012,110.000 Km
Chevrolet Cruze,Cruze LT 1.8 16V Ecotec (Flex) manual,"R$ 49.900,00","Brasília, DF",2011/2012,172.902 Km
Ford Fusion,Fusion 2.5 16V SEL automático,"R$ 49.900,00","São José dos Pinhais, PR",2011/2012,100.000 Km
Mitsubishi Lancer,Lancer 2.0 16V CVT (aut) automático,"R$ 49.900,00","São Paulo, SP",2011/2012,117.000 Km
Fiat Freemont,Freemont 2.4 16V Precision (Aut) automático,"R$ 49.900,00","Vespasiano, MG",2011/2012,163.000 Km
Ford EcoSport,Ecosport XLT 2.0 16V (Flex) (Aut) automático,"R$ 49.900,00","Blumenau, SC",2011/2012,142.200 Km
Ford Focus Sedan,Focus Sedan Titanium 2.0 16V (Aut) automático,"R$ 49.900,00","Piracicaba, SP",2011/2012,106.000 Km
Volkswagen Saveiro,Saveiro Cross 1.6 (Flex) (cab. estendida) manual,"R$ 49.900,00","Barra Mansa, RJ",2011/2012,125.000 Km
Kia Soul,Soul 1.6 16V (aut.) U.173 automático,"R$ 49.900,00","Sapucaia do Sul, RS",2011/2012,115.000 Km
Volkswagen Saveiro,Saveiro Cross 1.6 (Flex) (cab. estendida) manual,"R$ 49.900,00","Ribeirão Preto, SP",2011/2012,126.000 Km
Kia Cerato,Cerato EX 1.6 16V E.273(aut) automático,"R$ 49.900,00","Guarulhos, SP",2011/2012,149.000 Km
Chevrolet Cruze,Cruze LT 1.8 16V Ecotec (Flex) automático,"R$ 49.900,00","Fortaleza, CE",2011/2012,129.000 Km
Chevrolet Captiva,Captiva 2.4 16V (Aut) automático,"R$ 49.900,00","Bragança Paulista, SP",2012/2012,129.000 Km
Honda Fit,New Fit LXL 1.4 (flex) (aut) automático,"R$ 49.900,00","Santo André, SP",2012/2012,97.642 Km
Chevrolet Cruze,Cruze LT 1.8 16V Ecotec (Aut)(Flex) automático,"R$ 49.900,00","Rio das Ostras, RJ",2012/2012,94.233 Km
Chevrolet Cruze,Cruze LT 1.8 16V Ecotec (Flex) manual,"R$ 49.900,00","Diadema, SP",2012/2012,155.211 Km
Fiat Strada,Strada Adventure 1.8 16V (Cabine Dupla) manual,"R$ 49.900,00","Rio Branco, AC",2010/2011,119.080 Km
Toyota Corolla,Corolla Sedan XEi 2.0 16V (flex) (aut) automático,"R$ 49.900,00","Recife, PE",2011/2011,131.200 Km
Honda City,City LX 1.5 16V (flex) (aut.) automático,"R$ 49.900,00","Santa Bárbara D'Oeste, SP",2010/2011,166.000 Km
Honda Civic,New Civic LXL 1.8 i-VTEC (Couro) (Flex) manual,"R$ 49.900,00","Volta Redonda, RJ",2011/2011,118.000 Km
Volkswagen Saveiro,Saveiro Cross 1.6 (Flex) (cab. estendida) manual,"R$ 49.900,00","João Monlevade, MG",2010/2011,146.000 Km
Fiat Doblò,Doblò Adventure Locker 1.8 16V (Flex) manual,"R$ 49.900,00","Blumenau, SC",2011/2011,134.000 Km
Subaru Impreza Hatch,Impreza 2.0 AWD (aut) automático,"R$ 49.900,00","Goiânia, GO",2011/2011,81.231 Km
Honda City,City LX 1.5 16V (flex) (aut.) automático,"R$ 49.900,00","São Paulo, SP",2010/2011,120.956 Km
Toyota Corolla,Corolla Sedan XEi 2.0 16V (flex) (aut) automático,"R$ 49.900,00","São João de Meriti, RJ",2011/2011,68.900 Km
Honda Civic,New Civic LXL 1.8 i-VTEC (Couro) (Flex) manual,"R$ 49.900,00","Jundiaí, SP",2011/2011,177.000 Km
Fiat Strada,Strada Adventure 1.8 8V (Flex) (Cabine Dupla) manual,"R$ 49.900,00","Jataí, GO",2010/2010,133.000 Km
Volkswagen New Beetle,New Beetle 2.0 manual,"R$ 49.900,00","Brasília, DF",2010/2010,187.000 Km
Honda Civic,New Civic LXL 1.8 16V (Aut) (Flex) automático,"R$ 49.900,00","Itajaí, SC",2010/2010,135.000 Km
Fiat Strada,Strada Adventure 1.8 8V (Flex) (Cabine Dupla) manual,"R$ 49.900,00","Içara, SC",2010/2010,N/D
Honda Civic,New Civic LXS 1.8 16V (Flex) manual,"R$ 49.900,00","Itaperuçu, PR",2009/2010,140.000 Km
Land Rover Freelander,Freelander 2 SE 4x4 3.2 24V I6 (aut) automático,"R$ 49.900,00","Natal, RN",2010/2010,153.000 Km
Honda CR-V,CR-V LX 2.0 16V automático,"R$ 49.900,00","São Paulo, SP",2010/2010,159.000 Km
Toyota Corolla,Corolla Sedan XEi 1.8 16V (flex) (aut) automático,"R$ 49.900,00","Lorena, SP",2008/2009,177.906 Km
Smart fortwo Coupe,fortwo Coupé Passion 62kw 1.0 12V automático,"R$ 49.900,00","Porto Alegre, RS",2009/2009,67.880 Km
Toyota Corolla,Corolla Sedan XEi 1.8 16V (flex) (aut) automático,"R$ 49.900,00","Curitiba, PR",2009/2009,167.000 Km
Chevrolet S10 Cabine Dupla,S10 Advantage 4x2 2.4 (Flex) (Cab Dupla) manual,"R$ 49.900,00","Ponta Grossa, PR",2007/2008,145.686 Km
Ford Ranger (Cabine Simples-Estendida),Ranger XLS 4x2 2.3 16V (Cab Simples) manual,"R$ 49.900,00","Curitiba, PR",2008/2008,142.000 Km
Audi A3,A3 2.0 TFSI Sportback automático,"R$ 49.900,00","Rio de Janeiro, RJ",2007/2008,104.194 Km
Honda CR-V,CR-V 2.0 16V automático,"R$ 49.900,00","São Paulo, SP",2007/2007,166.989 Km
Honda CR-V,CR-V 2.0 16V automático,"R$ 49.900,00","Belo Horizonte, MG",2007/2007,154.312 Km
Chevrolet Prisma,Prisma 1.4 LTZ SPE/4 (Aut) automático,"R$ 49.918,00","Praia Grande, SP",2014/2014,61.000 Km
Mitsubishi Pajero Sport,Pajero Sport HPE 4x4 3.5 (aut) automático,"R$ 49.918,00","Praia Grande, SP",2007/2007,122.000 Km
Fiat Mobi,Mobi 1.0 Evo Like manual,"R$ 49.920,00","Belo Horizonte, MG",2020/2020,50.542 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.930,00","Feira de Santana, BA",2020/2021,44.399 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.930,00","Feira de Santana, BA",2020/2021,44.441 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.930,00","Belo Horizonte, MG",2021/2021,66.364 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.930,00","Contagem, MG",2021/2021,66.364 Km
Fiat Mobi,Mobi 1.0 Evo Like manual,"R$ 49.930,00","Contagem, MG",2020/2020,79.502 Km
Fiat Mobi,Mobi 1.0 Evo Like manual,"R$ 49.930,00","Vitória, ES",2020/2020,78.419 Km
Fiat Mobi,Mobi 1.0 Evo Like manual,"R$ 49.930,00","Uberaba, MG",2020/2020,79.608 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.940,00","Belo Horizonte, MG",2020/2021,84.990 Km
Fiat Uno,Uno Attractive 1.0 (Flex) manual,"R$ 49.940,00","Brasília, DF",2019/2020,70.000 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.950,00","Blumenau, SC",2020/2021,79.986 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.950,00","Campinas, SP",2021/2021,68.890 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.950,00","Contagem, MG",2021/2021,68.195 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.950,00","São Paulo, SP",2020/2021,70.000 Km
Renault Sandero,Sandero Authentique 1.0 12V SCe (Flex) manual,"R$ 49.950,00","Brasília, DF",2019/2020,58.000 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.980,00","Recife, PE",2021/2022,46.701 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.980,00","Contagem, MG",2021/2021,75.526 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.980,00","Rio de Janeiro, RJ",2020/2021,69.852 Km
Fiat Mobi,Mobi 1.0 Like manual,"R$ 49.980,00","Ponta Grossa, PR",2021/2021,74.394 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.980,00","São Paulo, SP",2020/2021,26.900 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.980,00","São Paulo, SP",2020/2021,34.999 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.980,00","São Paulo, SP",2021/2021,71.995 Km
Chevrolet Onix,Onix 1.0 Joy SPE/4 manual,"R$ 49.980,00","João Pessoa, PB",2018/2018,66.000 Km
Volkswagen Gol,Gol 1.6 MSI Trendline (Flex) manual,"R$ 49.980,00","Canoas, RS",2017/2018,55.889 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 49.980,00","Sorocaba, SP",2016/2017,102.439 Km
Peugeot 3008,3008 1.6 THP Griffe automático,"R$ 49.980,00","Canoas, RS",2011/2012,97.102 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.990,00","Olinda, PE",2021/2022,32.600 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.990,00","Brasília, DF",2021/2022,78.342 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 49.990,00","Recife, PE",2020/2021,31.100 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 49.990,00","São Paulo, SP",2020/2021,77.260 Km
