Título,Descrição,Preço,Local,Ano,KM Rodado
Ford EcoSport,Ecosport XLT 2.0 16V (Flex) (Aut) automático,"R$ 44.900,00","Curitiba, PR",2011/2012,117.000 Km
Chevrolet Montana,Montana Sport 1.4 (Flex) manual,"R$ 44.900,00","Joinville, SC",2011/2012,146.000 Km
Fiat 500,500 Cult Dualogic 1.4 8V automático,"R$ 44.900,00","São José, SC",2011/2012,100.000 Km
Fiat Doblò,Doblò HLX 1.8 16V (Flex) manual,"R$ 44.900,00","Aparecida de Goiânia, GO",2010/2011,155.265 Km
Kia Soul,Soul 1.6 16V U.113 manual,"R$ 44.900,00","Joinville, SC",2010/2011,139.000 Km
Hyundai i30,i30 GLS 2.0 16V (aut) automático,"R$ 44.900,00","Suzano, SP",2010/2010,156.000 Km
Fiat 500,500 Lounge 1.4 16V manual,"R$ 44.900,00","São Caetano do Sul, SP",2009/2010,85.000 Km
Volkswagen Jetta,Jetta 2.5 20V automático,"R$ 44.900,00","São Paulo, SP",2010/2010,186.170 Km
Mitsubishi Pajero TR4,Pajero TR4 2.0 16V (flex) automático,"R$ 44.900,00","Porto Alegre, RS",2008/2009,N/D
Honda Fit,New Fit EXL 1.5 16V (flex) manual,"R$ 44.900,00","Sorocaba, SP",2009/2009,85.000 Km
Volkswagen New Beetle,New Beetle 2.0 automático,"R$ 44.900,00","São Paulo, SP",2008/2009,141.620 Km
Dodge Journey,Journey SXT 2.7 V6 automático,"R$ 44.900,00","São José, SC",2008/2009,165.000 Km
Honda Civic,New Civic EXS 1.8 16V (Aut) (Flex) automático,"R$ 44.900,00","Mauá, SP",2009/2009,134.010 Km
Honda Fit,New Fit LXL 1.4 (flex) (aut) automático,"R$ 44.900,00","Suzano, SP",2009/2009,118.800 Km
Honda Civic,New Civic LXS 1.8 16V (Aut) (Flex2) automático,"R$ 44.900,00","Sorocaba, SP",2008/2008,188.000 Km
Honda Civic,New Civic LXS 1.8 16V (Aut) (Flex) automático,"R$ 44.900,00","Fortaleza, CE",2007/2008,108.000 Km
Renault Kwid,Kwid 1.0 Zen manual,"R$ 44.980,00","Recife, PE",2019/2020,73.141 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.980,00","Canoas, RS",2017/2018,97.644 Km
Fiat Uno,Uno Drive 1.0 Firefly (Flex) manual,"R$ 44.980,00","Canoas, RS",2017/2018,59.111 Km
Hyundai Tucson,Tucson GLS 2.0 16V (aut) automático,"R$ 44.980,00","Osasco, SP",2011/2012,209.710 Km
Fiat Uno,Uno 1.0 Attractive manual,"R$ 44.990,00","Rio de Janeiro, RJ",2020/2021,41.742 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.990,00","Fortaleza, CE",2018/2019,79.200 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.990,00","Barueri, SP",2019/2019,68.000 Km
Fiat Mobi,Mobi Evo Like 1.0 (Flex) manual,"R$ 44.990,00","Vinhedo, SP",2019/2019,93.837 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.990,00","Mogi Mirim, SP",2018/2019,69.000 Km
Renault Sandero,Sandero Authentique 1.0 12V SCe (Flex) manual,"R$ 44.990,00","Olinda, PE",2018/2019,63.969 Km
Fiat Mobi,Mobi Evo Like 1.0 (Flex) manual,"R$ 44.990,00","Campo Grande, MS",2017/2018,90.180 Km
Fiat Mobi,Mobi Evo Way 1.0 (Flex) manual,"R$ 44.990,00","Cuiabá, MT",2017/2018,103.500 Km
Fiat Mobi,Mobi FireFly Drive 1.0 (Flex) manual,"R$ 44.990,00","São Paulo, SP",2017/2018,68.800 Km
Fiat Mobi,Mobi FireFly Drive 1.0 (Flex) manual,"R$ 44.990,00","São Paulo, SP",2017/2018,68.800 Km
Renault Logan,Logan Authentique 1.0 12V SCe (Flex) manual,"R$ 44.990,00","Campinas, SP",2017/2018,111.111 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.990,00","Fortaleza, CE",2018/2018,59.644 Km
Renault Kwid,Kwid Intense 1.0 12v SCe (Flex) manual,"R$ 44.990,00","Limeira, SP",2017/2018,38.928 Km
Renault Kwid,Kwid Zen 1.0 12v SCe (Flex) manual,"R$ 44.990,00","Campinas, SP",2017/2018,99.130 Km
Renault Sandero,Sandero Vibe 1.0 12V SCe (Flex) manual,"R$ 44.990,00","Taubaté, SP",2017/2018,128.002 Km
Volkswagen Voyage,Voyage 1.6 MSI Trendline (Flex) manual,"R$ 44.990,00","Rio de Janeiro, RJ",2017/2018,82.000 Km
Fiat Mobi,Mobi Evo Like 1.0 (Flex) manual,"R$ 44.990,00","São Paulo, SP",2017/2018,57.000 Km
Fiat Mobi,Mobi Evo Like 1.0 (Flex) manual,"R$ 44.990,00","Mossoró, RN",2018/2018,36.000 Km
Fiat Uno,Uno Way 1.0 Firefly (Flex) manual,"R$ 44.990,00","Várzea Grande, MT",2017/2018,80.000 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 44.990,00","Marabá, PA",2017/2018,97.664 Km
Citroën C3,C3 Origine Puretech 1.2 12V (Flex) manual,"R$ 44.990,00","São Paulo, SP",2016/2017,68.665 Km
Renault Sandero,Sandero Expression 1.6 8V (Flex) manual,"R$ 44.990,00","Rio de Janeiro, RJ",2017/2017,107.143 Km
Fiat Mobi,Mobi Evo Like 1.0 (Flex) manual,"R$ 44.990,00","São Paulo, SP",2016/2017,81.000 Km
Fiat Mobi,Mobi Evo Way 1.0 (Flex) manual,"R$ 44.990,00","Santo André, SP",2016/2017,68.400 Km
Ford Ka,Ka 1.0 SE (Flex) manual,"R$ 44.990,00","Campinas, SP",2016/2017,107.000 Km
Fiat Mobi,Mobi Evo Like 1.0 (Flex) manual,"R$ 44.990,00","Franca, SP",2016/2017,75.000 Km
Volkswagen Gol,Gol 1.0 MPI Trendline (Flex) manual,"R$ 44.990,00","Guarulhos, SP",2016/2017,78.000 Km
Fiat Palio,Palio Attractive 1.0 Evo (Flex) manual,"R$ 44.990,00","Natal, RN",2017/2017,70.000 Km
Chevrolet Onix,Onix 1.0 Joy SPE/4 manual,"R$ 44.990,00","Campinas, SP",2017/2017,118.000 Km
Citroën C3,C3 Origine Puretech 1.2 12V (Flex) manual,"R$ 44.990,00","Campinas, SP",2017/2017,118.000 Km
Volkswagen Up!,Up! 1.0 12v E-Flex take up! 4p manual,"R$ 44.990,00","Rondonópolis, MT",2016/2017,70.000 Km
Citroën C3,C3 Origine 1.2 12V (Flex) manual,"R$ 44.990,00","São Paulo, SP",2016/2017,70.334 Km
Fiat Mobi,Mobi Evo Like 1.0 (Flex) manual,"R$ 44.990,00","Limeira, SP",2016/2017,65.910 Km
Ford Ka Sedan,Ka Sedan SE 1.5 16v (Flex) manual,"R$ 44.990,00","Belo Horizonte, MG",2015/2016,86.000 Km
Fiat Palio,Palio Attractive 1.4 Evo (Flex) manual,"R$ 44.990,00","São Bernardo do Campo, SP",2015/2016,84.700 Km
Fiat Palio,Palio Attractive 1.4 Evo (Flex) manual,"R$ 44.990,00","São Paulo, SP",2015/2016,107.867 Km
Volkswagen Up!,Up! 1.0 12v E-Flex take up! 4p manual,"R$ 44.990,00","São Bernardo do Campo, SP",2016/2016,88.000 Km
Chevrolet Onix,Onix 1.0 LS SPE/4 manual,"R$ 44.990,00","Campinas, SP",2015/2016,139.000 Km
Volkswagen Gol,Gol 1.6 VHT City (Flex) 4p manual,"R$ 44.990,00","Campinas, SP",2016/2016,95.000 Km
Fiat Uno,Uno Way 1.0 8V (Flex) 4p manual,"R$ 44.990,00","São Bernardo do Campo, SP",2015/2016,101.720 Km
Chevrolet Onix,Onix 1.0 LT SPE/4 manual,"R$ 44.990,00","Campinas, SP",2015/2016,111.101 Km
Fiat Uno,Uno Way 1.4 8V (Flex) 4p manual,"R$ 44.990,00","São Paulo, SP",2015/2015,121.000 Km
