Marca,Carro,Descrição,Preço,Ano,KM Rodado,Transmissão,Cidade,Estado,Classificação,Preço Predito
Volkswagen,Fox,Fox 1.6 MSI Trendline (Flex),50900,2016,108000,Manual,Curitiba,PR,Barato,50900.0
Hyundai,HB20,HB20 1.0 Comfort,50900,2017,47307,Manual,São Paulo,SP,Mediano,50900.0
Volkswagen,Voyage,Voyage 1.6 MSI Trendline (Flex),50900,2017,80550,Manual,Santa Maria,RS,Barato,50900.0
Fiat,Punto,Punto Essence 1.6 16V (Flex),50900,2015,43785,Manual,Curitiba,PR,Mediano,50900.0
Chevrolet,Prisma,Prisma 1.0 LT SPE/4,50900,2015,60397,Manual,Curitiba,PR,Mediano,50900.0
Volkswagen,Fox,Fox 1.0 TEC Comfortline (Flex),50900,2015,81982,Manual,Cambé,PR,Barato,50900.0
Renault,Sandero,Sandero RS 2.0 16V (Flex),50900,2015,108117,Manual,Aparecida de Goiânia,GO,Barato,50900.0
Volkswagen,Up!,Up! 1.0 12v TSI E-Flex Speed Up!,50900,2016,102890,Manual,São Caetano do Sul,SP,Barato,49890.0
Hyundai,HB20,HB20 1.0 Comfort,50900,2016,79000,Manual,Americana,SP,Barato,51900.0
Hyundai,HB20,HB20 1.0 Comfort Plus,50900,2016,91000,Manual,São José dos Campos,SP,Barato,50900.0
Chevrolet,Prisma,Prisma 1.4 LT SPE/4,50900,2016,94000,Manual,Guarulhos,SP,Barato,50900.0
Volkswagen,Up!,Up! 1.0 12v TSI E-Flex Move Up!,50900,2015,125000,Manual,Cotia,SP,Barato,50900.0
Volkswagen,Fox,Fox 1.0 MPI Trendline (Flex),50900,2015,124000,Manual,Sorocaba,SP,Barato,50900.0
Hyundai,HB20,HB20 1.0 Comfort Plus,50900,2016,100,Manual,Araruama,RJ,Mediano,46890.0
Chevrolet,Prisma,Prisma 1.4 LT SPE/4,50900,2015,72342,Manual,São Paulo,SP,Mediano,50900.0
Chevrolet,Montana,Montana LS 1.4 (Flex),50900,2016,80463,Manual,Uberlândia,MG,Barato,50900.0
Chevrolet,Onix,Onix 1.0 LS SPE/4,50900,2015,135000,Manual,Cascavel,PR,Caro,49233.333333333336
Volkswagen,Saveiro,Saveiro 1.6 Startline CS (Flex),50900,2015,133823,Manual,São José dos Campos,SP,Caro,50900.0
Chevrolet,Prisma,Prisma 1.0 LT SPE/4,50900,2015,60397,Manual,Curitiba,PR,Mediano,50900.0
Fiat,Punto,Punto Essence 1.6 16V (Flex),50900,2015,43785,Manual,Curitiba,PR,Mediano,50900.0
Renault,Kangoo Express,Kangoo Express 1.6 16V Com Porta Lateral (Flex),50900,2016,129000,Manual,São Paulo,SP,Barato,51400.0
Volkswagen,Up!,Up! 1.0 12v TSI E-Flex Move Up!,50900,2015,100000,Manual,Franca,SP,Barato,47395.0
Chevrolet,Onix,Onix 1.4 LT SPE/4,50900,2015,80144,Manual,Londrina,PR,Barato,50900.0
Hyundai,HB20,HB20 1.0 Comfort,50900,2015,300,Manual,Palmas,TO,Mediano,49900.0
Hyundai,HB20,HB20 1.0 Comfort Plus,50900,2015,41644,Manual,Santos,SP,Mediano,49900.0
Citroën,C3,C3 Exclusive 1.6 VTI 120 (Flex) (Aut),50900,2015,57000,Automático,Praia Grande,SP,Mediano,50900.0
Hyundai,HB20S,HB20S 1.0 Comfort Plus,50900,2014,148000,Manual,Suzano,SP,Caro,50900.0
Volkswagen,SpaceFox,SpaceFox 1.6 VHT Comfortline (Flex),50900,2014,85000,Manual,Petrópolis,RJ,Barato,50900.0
Hyundai,HB20,HB20 1.6 Comfort Plus,50900,2015,111858,Manual,Betim,MG,Barato,50900.0
Volkswagen,Fox,Fox Highline 1.6 16v MSI (Flex),50900,2015,100421,Manual,Curitiba,PR,Barato,50900.0
Ford,New Fiesta Hatch,New Fiesta Titanium 1.6 16V PowerShift,50900,2014,92700,Automático,Santo Antônio de Pádua,RJ,Barato,50900.0
Hyundai,Tucson,Tucson GLS 2.0L 16v (Flex) (Aut),50900,2014,145416,Automático,São João de Meriti,RJ,Caro,52990.0
Chevrolet,Prisma,Prisma 1.0 LT SPE/4,50900,2014,176000,Manual,Indaial,SC,Caro,50900.0
Ford,New Fiesta Sedan,New Fiesta Sedan 1.6 Titanium PowerShift (Flex),50900,2014,69000,Automático,Cachoeira do Campo,MG,Mediano,50900.0
Hyundai,HB20S,HB20S 1.0 Comfort Plus,50900,2015,86564,Manual,Colombo,PR,Barato,50900.0
Chevrolet,Spin,Spin LTZ 7S 1.8 (Aut) (Flex),50900,2014,101740,Automático,São João de Meriti,RJ,Barato,50900.0
Chevrolet,Onix,Onix 1.4 LTZ SPE/4,50900,2014,78475,Manual,Várzea Grande,MT,Barato,50900.0
Volkswagen,Saveiro,Saveiro Trendline 1.6 MSI CS (Flex),50900,2015,87600,Manual,Osasco,SP,Barato,50900.0
Renault,Duster,Duster 2.0 16V Dynamique 4x4 (Flex),50900,2013,129319,Manual,Umuarama,PR,Barato,50900.0
Honda,Fit,Fit LX 1.4 (flex),50900,2013,154700,Automático,Curitiba,PR,Caro,50900.0
Chevrolet,Onix,Onix 1.4 LTZ SPE/4,50900,2014,155284,Manual,Taubaté,SP,Caro,50900.0
Hyundai,HB20,HB20 1.6 Comfort Style (Aut),50900,2014,74000,Automático,Fortaleza,CE,Mediano,50900.0
Renault,Duster,Duster 2.0 16V Dynamique 4x4 (Flex),50900,2013,129319,Manual,Toledo,PR,Barato,50900.0
Renault,Duster,Duster 2.0 16V Dynamique 4x4 (Flex),50900,2013,129319,Manual,Marechal Cândido Rondon,PR,Barato,50900.0
Hyundai,HB20S,HB20S 1.6 Comfort Plus,50900,2013,146000,Manual,São Paulo,SP,Caro,50900.0
Chevrolet,Onix,Onix 1.4 LTZ SPE/4,50900,2014,111170,Manual,São José do Rio Preto,SP,Barato,48900.0
Honda,Fit,Fit LX 1.4 (flex),50900,2012,87000,Manual,Sorocaba,SP,Barato,50900.0
Chevrolet,Prisma,Prisma 1.4 LTZ SPE/4,50900,2013,94000,Manual,Campinas,SP,Barato,46596.666666666664
Honda,Fit,Fit EX 1.5 16V (flex),50900,2012,179000,Manual,São Paulo,SP,Caro,47395.0
Chevrolet,Spin,Spin LTZ 7S 1.8 (Aut) (Flex),50900,2012,142848,Automático,Biritiba-Mirim,SP,Caro,50900.0
Volkswagen,Saveiro,Saveiro Cross 1.6 (Flex) (cab. estendida),50900,2012,161000,Manual,Volta Redonda,RJ,Caro,51895.0
