Marca,Carro,Descrição,Preço,Ano,KM Rodado,Transmissão,Cidade,Estado
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),25900,2009,135000,Manual,Santo André,SP
Renault,Sandero,Sandero Vibe 1.6 8V Hi-Torque (flex),25900,2009,170000,Manual,São Paulo,SP
Fiat,Palio,Palio Fire 1.0 8V (Flex) 4p,25900,2009,188338,Manual,Curitiba,PR
Fiat,Siena,Siena Fire 1.0 8V (Flex),25900,2009,192000,Manual,São Paulo,SP
Chevrolet,Meriva,Meriva Joy 1.4 (Flex),25900,2009,140000,Manual,Sapucaia do Sul,RS
Chevrolet,Prisma,Prisma Maxx 1.0 (Flex),25900,2010,205000,Manual,Indaiatuba,SP
Citroën,C3,C3 Exclusive 1.4 8V (flex),25900,2010,146000,Manual,Osasco,SP
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),25900,2009,140000,Manual,Brasília,DF
Ford,Fiesta Hatch,Fiesta Hatch 1.6 (Flex),25900,2010,109878,Manual,Curitiba,PR
Ford,Fiesta Sedan,Fiesta Sedan 1.0 (Flex),25900,2009,140000,Manual,Campo Grande,MS
Chevrolet,Celta,Celta Spirit 1.0 VHCE (Flex) 4p,25900,2009,120000,Manual,Porto Alegre,RS
Chevrolet,Celta,Celta Spirit 1.0 VHCE (Flex) 4p,25900,2009,118000,Manual,Colombo,PR
Ford,Fiesta Sedan,Fiesta Sedan 1.6 (Flex),25900,2010,128000,Manual,Fortaleza,CE
Fiat,Siena,Siena Fire 1.0 8V (Flex),25900,2009,167651,Manual,Guarulhos,SP
Chevrolet,Prisma,Prisma Joy 1.4 (Flex),25900,2009,215082,Manual,Campinas,SP
Volkswagen,Gol,Gol Trend 1.0 (G5) (Flex),25900,2009,114730,Manual,Botucatu,SP
Ford,Focus Hatch,Focus Hatch GL 1.6 8V (Flex),25900,2008,198000,Manual,Botucatu,SP
Fiat,Siena,Siena Fire 1.0 8V (Flex),25900,2008,184352,Manual,Belo Horizonte,MG
Fiat,Siena,Siena Fire 1.0 8V (Flex),25900,2008,177000,Manual,Curitiba,PR
Renault,Sandero,Sandero Expression 1.0 16V (flex),25900,2009,200000,Manual,São Bernardo do Campo,SP
Renault,Sandero,Sandero Expression 1.0 16V (flex),25900,2009,222000,Manual,Jacareí,SP
Volkswagen,Voyage,Voyage 1.0 Total Flex,25900,2009,171000,Manual,Jacareí,SP
Renault,Sandero,Sandero Expression 1.6 8V (flex),25900,2008,164633,Manual,Joinville,SC
Chevrolet,Meriva,Meriva Maxx 1.8 (Flex),25900,2008,107000,Manual,Porto Alegre,RS
Chevrolet,Prisma,Prisma Maxx 1.4 (Flex),25900,2007,192000,Manual,São José do Rio Preto,SP
Fiat,Palio,Palio ELX 1.4 (Flex),25900,2008,120000,Manual,Botucatu,SP
Fiat,Idea,Idea ELX 1.4 (Flex),25900,2007,220000,Manual,Atibaia,SP
Fiat,Palio,Palio 1.8 R (Flex),25900,2008,167495,Manual,São Paulo,SP
Chevrolet,Corsa Sedan,Corsa Sedan Maxx 1.8 (Flex),25900,2006,161000,Manual,Catanduva,SP
Volkswagen,Fox,Fox Plus 1.6 8V (Flex),25900,2006,157000,Manual,Ponta Grossa,PR
Volkswagen,Fox,Fox Plus 1.6 8V (Flex) 2p,25900,2005,207590,Manual,Mogi das Cruzes,SP
Chevrolet,Meriva,Meriva Maxx 1.8 (Flex),25900,2006,149000,Manual,Lins,SP
Volkswagen,Parati,Parati Track Field 1.6 MI (Flex),25900,2005,100000,Manual,Porto Alegre,RS
Volkswagen,Gol,Gol Copa 1.6 (G4) (Flex),25900,2006,135000,Manual,Catanduva,SP
Volkswagen,Gol,Gol Power 1.6 (G4) (Flex),25900,2006,300,Manual,Viamão,RS
Chevrolet,Astra Sedan,Astra Sedan Elegance 2.0 (Flex),25900,2004,258471,Manual,Rio de Janeiro,RJ
Ford,EcoSport,Ecosport XLT 1.6 8V,25900,2005,145000,Manual,Criciúma,SC
Volkswagen,Fox,Fox Plus 1.6 8V (Flex),25900,2005,115000,Manual,São Carlos,SP
Volkswagen,Fox,Fox Plus 1.6 8V (Flex) 2p,25900,2005,204000,Manual,São Paulo,SP
Fiat,Punto,Punto ELX 1.4 (Flex),25950,2007,0,Manual,Rio de Janeiro,RJ
Volkswagen,Gol,Gol 1.0 8V (G4)(Flex)4p,25980,2011,113800,Manual,Mogi das Cruzes,SP
Volkswagen,Gol,Gol 1.0 8V (G4)(Flex)2p,25990,2012,200000,Manual,Brasília,DF
Ford,Ka,Ka 1.0 (Flex),25990,2012,122202,Manual,Rio Claro,SP
Fiat,Uno,Uno Attractive 1.4 8V (Flex) 4p,25990,2010,87654,Manual,Rio de Janeiro,RJ
Fiat,Siena,Siena Fire 1.0 8V (Flex),25990,2011,199319,Manual,São Paulo,SP
Chevrolet,Corsa Hatch,Corsa Hatch Maxx 1.4 (Flex),25990,2011,163000,Manual,Rio das Ostras,RJ
Fiat,Palio,Palio Fire 1.0 8V (Flex) 4p,25990,2010,125000,Manual,Vinhedo,SP
Citroën,C3,C3 GLX 1.4 8V (flex),25990,2011,101617,Manual,Porto Alegre,RS
Citroën,C3,C3 Exclusive 1.4 8V (flex),25990,2010,111509,Manual,Porto Alegre,RS
Citroën,C3,C3 GLX 1.4 8V (flex),25990,2011,101617,Manual,Gravataí,RS
Citroën,C3,C3 Exclusive 1.4 8V (flex),25990,2010,111509,Manual,Gravataí,RS
Citroën,C3,C3 GLX 1.4 8V (flex),25990,2011,101617,Manual,Porto Alegre,RS
Citroën,C3,C3 Exclusive 1.4 8V (flex),25990,2010,111509,Manual,Porto Alegre,RS
Citroën,C3,C3 GLX 1.4 8V (flex),25990,2011,101617,Manual,Porto Alegre,RS
Citroën,C3,C3 Exclusive 1.4 8V (flex),25990,2010,111509,Manual,Porto Alegre,RS
Fiat,Siena,Siena Fire 1.0 8V (Flex),25990,2009,100000,Manual,São Paulo,SP
Renault,Clio Sedan,Clio Sedan Privilége 1.6 16V (flex),25990,2008,152350,Manual,Brasília,DF
Chevrolet,Corsa Sedan,Corsa Sedan Premium 1.4 (Flex),25990,2009,195000,Manual,Brasília,DF
Ford,Fiesta Hatch,Fiesta Hatch Trail 1.6 (Flex),25990,2008,231498,Manual,Guará,DF
Ford,Focus Hatch,Focus Hatch GL 1.6 8V (Flex),25990,2009,126000,Manual,Santo André,SP
Chevrolet,Prisma,Prisma Maxx 1.4 (Flex),25990,2008,174000,Manual,Santo André,SP
Volkswagen,Fox,Fox Plus 1.6 8V (Flex),25990,2006,150000,Manual,Campinas,SP
Citroën,C3,C3 GLX 1.4 8V (flex),25999,2009,96000,Manual,São Bernardo do Campo,SP
Ford,Fiesta Sedan,Fiesta Sedan Class 1.6 (Flex),25999,2009,122000,Manual,Taboão da Serra,SP
Honda,Fit,Fit LX 1.4,25999,2005,185223,Manual,São José do Rio Preto,SP
Chevrolet,Classic,Classic LS VHC E 1.0 (Flex),26000,2012,149000,Manual,Sorocaba,SP
Chevrolet,Zafira,Zafira Comfort 2.0 (Flex),26000,2006,205000,Manual,Atibaia,SP
Fiat,Idea,Idea Essence 1.6 16V E.TorQ (Flex),26099,2011,103003,Manual,Rio de Janeiro,RJ
Fiat,Uno Mille,Uno Mille Fire Economy Way 1.0 (Flex) 4p,26300,2012,150000,Manual,São Paulo,SP
Chevrolet,Agile,Agile LT 1.4 8V (Flex),26399,2011,64547,Manual,Rio de Janeiro,RJ
Chevrolet,Agile,Agile LT 1.4 8V (Flex),26399,2011,63425,Manual,Rio de Janeiro,RJ
Ford,Ka,Ka 1.0 (Flex),26500,2013,182000,Manual,Extrema,MG
Citroën,Xsara Picasso,Xsara Picasso GLX 1.6 16V (flex),26500,2010,94000,Manual,Catanduva,SP
Fiat,Siena,Siena EL 1.0 8V (Flex),26500,2010,180000,Manual,São Carlos,SP
Volkswagen,Fox,Fox 1.0 8V (Flex) 2p,26599,2010,76547,Manual,Rio de Janeiro,RJ
Volkswagen,Polo Sedan,Polo Sedan 1.6 8V (Flex),26690,2006,223733,Manual,Campinas,SP
Peugeot,207,207 Hatch XR 1.4 8V (flex) 4p,26777,2011,112523,Manual,Campinas,SP
Peugeot,207,207 Hatch XR 1.4 8V (flex) 4p,26777,2011,112523,Manual,Campinas,SP
Renault,Sandero,Sandero Authentique 1.0 16V (flex),26799,2014,54237,Manual,Rio de Janeiro,RJ
Chevrolet,Classic,Classic LS VHC E 1.0 (Flex),26800,2011,120000,Manual,São José do Rio Preto,SP
Chevrolet,Prisma,Prisma Maxx 1.0 (Flex),26800,2010,11111,Manual,Pompéia,SP
Ford,EcoSport,Ecosport XLS 1.6 (Flex),26800,2006,119000,Manual,Santos,SP
Fiat,Siena,Siena Fire 1.0 8V (Flex),26890,2009,150220,Manual,São Paulo,SP
